titles,links,text,prices
Hasselblad 501C/M chrome + Carl Zeiss 80mm F/2.8 Planar CF + A12 magazine,https://fotohandeldelfshaven.nl/product/hasselblad-501c-m-chrome-carl-zeiss-80mm-f-2-8-planar-cf-a12-magazine/,"
Hasselblad 501C/M chrome + Carl Zeiss 80mm F/2.8 Planar CF + A12 magazine

Price: €3.500,00Beautiful and perfectly working Hasselblad 501C/M in chrome color. Made in 1997, so a very late camera. Comes with the famous and sought after CF version of the 80mm F/2.8 Planar lens by Carl Zeiss. Newer style A12 film holder installed. This setup allows you to shoot 12 exposures on  .....
Add to cartHasselblad 501C/M chrome + Carl Zeiss 80mm F/2.8 Planar CF + A12 magazineMaartenOctober 3, 2023October 3, 2023","Price: €3.500,00"
Nikon FM3a body black,https://fotohandeldelfshaven.nl/product/nikon-fm3a-body-black-2/,"
Nikon FM3a body black

Price: €1.000,00The Nikon FM3a for many is the holy grail in terms of mechanical 35mm SLR camera’s. Its based around the purest form of photography. No modern whistles and bells, just your main exposure controls. Based on the FM and FM2 series camera’s, the FM3a was released as late as 2001  .....
Add to cartNikon FM3a body blackMaartenOctober 3, 2023October 3, 2023","Price: €1.000,00"
Olympus OM-10 + OM 50mm F/1.8 lens,https://fotohandeldelfshaven.nl/product/olympus-om-10-om-50mm-f-1-8-lens/,"
Olympus OM-10 + OM 50mm F/1.8 lens

Price:   SoldThe Olympus OM-10 is a small, lightweight and affordable 35mm SLR camera, perfect for beginners. The camera automates exposure for you, so you only have to set the aperture yourself, the camera will figure out shutterspeeds based on its lightmeter readout. Paired with a 50mm F/1.8 which is perfect for  .....
Read moreOlympus OM-10 + OM 50mm F/1.8 lensMaartenOctober 3, 2023October 5, 2023",Price:   Sold
Minotla X-700 + MD Rokkor 50mm F/1.4,https://fotohandeldelfshaven.nl/product/minotla-x-700-md-rokkor-50mm-f-1-4/,"
Minotla X-700 + MD Rokkor 50mm F/1.4

Price: €350,00The Minolta X-700 is amongst the best cameras for beginners in analog photography. Its built in lightmeter and automatic exposure mode make it the perfect camera for people who are still figuring out photography. Also perfectly suited for more advanced photographers since it does still offer manual or semi-manual exposure  .....
Add to cartMinotla X-700 + MD Rokkor 50mm F/1.4MaartenOctober 3, 2023October 3, 2023","Price: €350,00"
"Leica M8 body black, boxed, 10701",https://fotohandeldelfshaven.nl/product/leica-m8-body-black-boxed-10701/,"
Leica M8 body black, boxed, 10701

Price: €1.350,00The Leica M8 was the first digital Leica M rangefinder. It houses a 10mp APS-H sized CCD sensor which produces amazing colors and contrast, great black and white camera as well. Because of its 1.3x crop your lenses become slightly longer, a 28mm will for example become a 35mm lens  .....
Add to cartLeica M8 body black, boxed, 10701MaartenOctober 3, 2023October 3, 2023","Price: €1.350,00"
"Som Berthiot 4.5 / 145mm lens, C-mount",https://fotohandeldelfshaven.nl/product/som-berthiot-4-5-145mm-lens-c-mount/,"
Som Berthiot 4.5 / 145mm lens, C-mount

Price: €250,00Berthiot tele lens for 16mm movie format. made for C-mount movie cameras such as the Bolex H16. Early lens and it shows it’s age with obvious patina. The focuys turns a bit stiff. aperture is smooth. Glass in usable condition but some haze. dirt to rear element, hard to reach  .....
Add to cartSom Berthiot 4.5 / 145mm lens, C-mountMaartenOctober 3, 2023October 3, 2023","Price: €250,00"
Bronica SQ-A + Zenzano-S 80mm F/2.8 lens + 120 back,https://fotohandeldelfshaven.nl/product/bronica-sq-a-zenzano-s-80mm-f-2-8-lens-120-back/,"
Bronica SQ-A + Zenzano-S 80mm F/2.8 lens + 120 back

Price:   SoldThe Bronica SQ-A is a medium format SLR. With this back you will get 12 exposures on 120 film with a 6×6 negative size. The perfect and way more affordable alternative to the famous Hasselblad 500 series. This Bronica is made in Japan and really was and still is a  .....
Read moreBronica SQ-A + Zenzano-S 80mm F/2.8 lens + 120 backMaartenOctober 3, 2023October 3, 2023",Price:   Sold
Mamiya RB67 Pro S + Sekor NB 127mm f/3.8,https://fotohandeldelfshaven.nl/product/mamiya-rb67-pro-s-sekor-nb-127mm-f-3-8/,"
Mamiya RB67 Pro S + Sekor NB 127mm f/3.8

Price: €850,00A Mamiya RB67 Pro S camera with a waist level finder and 120 back that comes with a 127mm f/3.8 NB lens. The camera was fully checked by us. The overall kit is in a good cosmetical condition with just regular wear on edges of the body due to normal  .....
Add to cartMamiya RB67 Pro S + Sekor NB 127mm f/3.8MaartenOctober 3, 2023October 3, 2023","Price: €850,00"
"Leica IIIF body only, OUTLET",https://fotohandeldelfshaven.nl/product/leica-iiif-body-only-outlet/,"
Leica IIIF body only, OUTLET

Price:   SoldLeica IIIF in unserviced condition hence sold as an outlet item. Decent cosmetics but of course some age related marks and wear. Shutter won’t fully fire/open. This can easily be spotted on bulb mode, first curtain is stuck 1/3rd of the frame and will introduce black or uneven exposures on  .....
Read moreLeica IIIF body only, OUTLETMaartenOctober 3, 2023October 3, 2023",Price:   Sold
Leica I (model A) black + Elmar 3.5 / 5cm lens,https://fotohandeldelfshaven.nl/product/leica-i-model-a-black-elmar-3-5-5cm-lens/,"
Leica I (model A) black + Elmar 3.5 / 5cm lens

Price: €900,00A nicely worn black painted Leica screw mount camera with matching 50mm F/3.5 elmar lens. Just the right amount of brassing and patina going on, leather coverings are still intact. Speeds have been tested on our machine and were surprisingly good, only 1/500th sometimes is a bit irregular. We could  .....
Add to cartLeica I (model A) black + Elmar 3.5 / 5cm lensMaartenOctober 3, 2023October 3, 2023","Price: €900,00"
Graflex Baby Speed Graphic w/ Kodak wide Field Ektar 80mm f/6.3,https://fotohandeldelfshaven.nl/product/graflex-baby-speed-graphic-w-kodak-wide-field-ektar-80mm-f-6-3/,"
Graflex Baby Speed Graphic w/ Kodak wide Field Ektar 80mm f/6.3

Price: €300,00This Graflex Baby Speed Graphic is a model that was made for 6×9 or 6×7 film sheets or is to be used with roll film backs. The camera icomes in a nice cosmetic condition with only slight wear. Rangefinder still moves when focused. Shutter on lens fires but not tested  .....
Add to cartGraflex Baby Speed Graphic w/ Kodak wide Field Ektar 80mm f/6.3MaartenOctober 3, 2023October 3, 2023","Price: €300,00"
Kiev-19 + Helios-81N 50mm f/2 Nikon F mount,https://fotohandeldelfshaven.nl/product/kiev-19-helios-81n-50mm-f-2-nikon-f-mount/,"
Kiev-19 + Helios-81N 50mm f/2 Nikon F mount

Price: €80,00The Kiev 19 is a later produced camera that is in many ways way more advanced than a Zenit camera. It has a metal bladed shutter with times from 1/500 until 1/2 (and B) and a built-in LED meter that unfortunately often does not work anymore. This camera looks pretty  .....
Add to cartKiev-19 + Helios-81N 50mm f/2 Nikon F mountMaartenOctober 3, 2023October 3, 2023","Price: €80,00"
Rollei 35 silver w/ Tessar 35mm f/3.5,https://fotohandeldelfshaven.nl/product/rollei-35-silver-w-tessar-35mm-f-3-5/,"
Rollei 35 silver w/ Tessar 35mm f/3.5

Price: €200,00Rollei 35 with Tessar 35mm f/3.5 in Silver finish made in singapore. One of the smallest fully mechanical compact cameras ever made. The camera is in good condition cosmetically with two tiny dents, one on the corner of the top plate near the finder and one on the bottom plate.  .....
Add to cartRollei 35 silver w/ Tessar 35mm f/3.5MaartenOctober 3, 2023October 3, 2023","Price: €200,00"
"Leica M3 double stroke body, OUTLET",https://fotohandeldelfshaven.nl/product/leica-m3-double-stroke-body-outlet/,"
Leica M3 double stroke body, OUTLET

Price: €750,00Leica M3 body sold as outlet camera and did not received a recent service. Early double stroke, buddah ears, version. Reason for selling it as outlet product: camera needs extensive repair, the shutterspeeds are uneven, higherspeeds differ a stop between left and right side of frame. Slow speeds (1/30th and  .....
Add to cartLeica M3 double stroke body, OUTLETMaartenOctober 3, 2023October 3, 2023","Price: €750,00"
Hasselblad 553 ELX body + A12 magazine and WLF,https://fotohandeldelfshaven.nl/product/hasselblad-553-elx-body-a12-magazine-and-wlf/,"
Hasselblad 553 ELX body + A12 magazine and WLF

Price: €500,00Hasselblad 553ELX kit with back, finder and screen. The 553ELX is a late electronically controled medium format SLR by Hasselblad. It shoots 6×6 negatives on 120 film and looks very similar as the 500 series bodies, but with the addition of automated transport. The batteries and motor that make this  .....
Add to cartHasselblad 553 ELX body + A12 magazine and WLFMaartenOctober 3, 2023October 3, 2023","Price: €500,00"
"Leica Fisheye-Elmarit-R 16mm f/2.8 3cam, dent in hood",https://fotohandeldelfshaven.nl/product/leica-fisheye-elmarit-r-16mm-f-2-8-3cam-dent-in-hood/,"
Leica Fisheye-Elmarit-R 16mm f/2.8 3cam, dent in hood

Price: €450,00This Leica R mount fisheye lens was introduced when the Leica SL2 was out which is the oldest model Leica R mount camera that is capable to use this lens due to the mirror clearance. This example is in a bit of a worn condition with a dent in the  .....
Add to cartLeica Fisheye-Elmarit-R 16mm f/2.8 3cam, dent in hoodMaartenOctober 3, 2023October 3, 2023","Price: €450,00"
